report_date,category,revenue
10/05/2022,Ethnic Dress,23576.00
10/05/2022,Saree,4957.00
10/05/2022,Set,1095644.00
10/05/2022,Top,161414.00
10/05/2022,Western Dress,271077.00
10/05/2022,kurta,615341.00
11/05/2022,Blouse,17659.00
11/05/2022,Bottom,2316.00
11/05/2022,Ethnic Dress,24382.00
11/05/2022,Saree,5974.00
11/05/2022,Set,1004078.00
11/05/2022,Top,150172.00
11/05/2022,Western Dress,274354.00
11/05/2022,kurta,572594.00
12/05/2022,Blouse,19366.00
12/05/2022,Bottom,2014.00
12/05/2022,Ethnic Dress,23846.00
12/05/2022,Saree,7253.00
12/05/2022,Set,945717.00
12/05/2022,Top,149083.00
12/05/2022,Western Dress,316486.00
12/05/2022,kurta,496589.00
13/05/2022,Blouse,16791.00
13/05/2022,Bottom,2817.00
13/05/2022,Ethnic Dress,26569.00
13/05/2022,Saree,4595.00
13/05/2022,Set,943935.00
13/05/2022,Top,132073.00
13/05/2022,Western Dress,357344.00
13/05/2022,kurta,469415.00
14/05/2022,Blouse,17710.00
14/05/2022,Bottom,5007.00
14/05/2022,Ethnic Dress,28284.00
14/05/2022,Saree,4794.00
14/05/2022,Set,951900.00
14/05/2022,Top,142486.00
14/05/2022,Western Dress,363006.00
14/05/2022,kurta,462916.00
15/05/2022,Blouse,15086.00
15/05/2022,Bottom,7133.00
15/05/2022,Ethnic Dress,30185.00
15/05/2022,Saree,2542.00
15/05/2022,Set,1024866.00
15/05/2022,Top,167885.00
15/05/2022,Western Dress,397063.00
15/05/2022,kurta,493164.00
16/05/2022,Blouse,13634.00
16/05/2022,Bottom,6986.00
16/05/2022,Ethnic Dress,31346.00
16/05/2022,Saree,2655.00
16/05/2022,Set,1024597.00
16/05/2022,Top,184121.00
16/05/2022,Western Dress,386009.00
16/05/2022,kurta,526440.00
17/05/2022,Blouse,7081.00
17/05/2022,Bottom,5414.00
17/05/2022,Ethnic Dress,30280.00
17/05/2022,Saree,885.00
17/05/2022,Set,1030728.00
17/05/2022,Top,189925.00
17/05/2022,Western Dress,386857.00
17/05/2022,kurta,520137.00
18/05/2022,Blouse,8048.00
18/05/2022,Bottom,2928.00
18/05/2022,Ethnic Dress,28035.00
18/05/2022,Saree,1805.00
18/05/2022,Set,996600.00
18/05/2022,Top,170899.00
18/05/2022,Western Dress,385937.00
18/05/2022,kurta,492938.00
19/05/2022,Blouse,12652.00
19/05/2022,Bottom,3069.00
19/05/2022,Ethnic Dress,21100.00
19/05/2022,Saree,2486.00
19/05/2022,Set,1001480.00
19/05/2022,Top,179924.00
19/05/2022,Western Dress,424937.00
19/05/2022,kurta,475724.00
20/05/2022,Blouse,17004.00
20/05/2022,Bottom,5554.00
20/05/2022,Ethnic Dress,17261.00
20/05/2022,Saree,4053.00
20/05/2022,Set,933956.00
20/05/2022,Top,162151.00
20/05/2022,Western Dress,466374.00
20/05/2022,kurta,472998.00
21/05/2022,Blouse,17652.00
21/05/2022,Bottom,7409.00
21/05/2022,Ethnic Dress,18998.00
21/05/2022,Saree,4018.00
21/05/2022,Set,853932.00
21/05/2022,Top,163399.00
21/05/2022,Western Dress,457440.00
21/05/2022,kurta,462456.00
22/05/2022,Blouse,12552.00
22/05/2022,Bottom,5939.00
22/05/2022,Ethnic Dress,20878.00
22/05/2022,Saree,2452.00
22/05/2022,Set,871804.00
22/05/2022,Top,170729.00
22/05/2022,Western Dress,427276.00
22/05/2022,kurta,475505.00
23/05/2022,Blouse,11048.00
23/05/2022,Bottom,5314.00
23/05/2022,Ethnic Dress,23768.00
23/05/2022,Saree,1770.00
23/05/2022,Set,913723.00
23/05/2022,Top,188725.00
23/05/2022,Western Dress,400169.00
23/05/2022,kurta,489699.00
24/05/2022,Blouse,11216.00
24/05/2022,Bottom,5708.00
24/05/2022,Ethnic Dress,25614.00
24/05/2022,Saree,1770.00
24/05/2022,Set,974376.00
24/05/2022,Top,196903.00
24/05/2022,Western Dress,389026.00
24/05/2022,kurta,508205.00
25/05/2022,Blouse,15704.00
25/05/2022,Bottom,7786.00
25/05/2022,Ethnic Dress,26935.00
25/05/2022,Saree,3337.00
25/05/2022,Set,974111.00
25/05/2022,Top,203953.00
25/05/2022,Western Dress,372659.00
25/05/2022,kurta,542876.00
26/05/2022,Blouse,14981.00
26/05/2022,Bottom,6300.00
26/05/2022,Ethnic Dress,29572.00
26/05/2022,Saree,3208.00
26/05/2022,Set,967936.00
26/05/2022,Top,191048.00
26/05/2022,Western Dress,385120.00
26/05/2022,kurta,570993.00
27/05/2022,Blouse,14930.00
27/05/2022,Bottom,4948.00
27/05/2022,Ethnic Dress,28051.00
27/05/2022,Saree,3114.00
27/05/2022,Set,955747.00
27/05/2022,Top,184155.00
27/05/2022,Western Dress,432404.00
27/05/2022,kurta,600144.00
28/05/2022,Blouse,11548.00
28/05/2022,Bottom,3369.00
28/05/2022,Ethnic Dress,29949.00
28/05/2022,Saree,4202.00
28/05/2022,Set,948460.00
28/05/2022,Top,183381.00
28/05/2022,Western Dress,482267.00
28/05/2022,kurta,602333.00
29/05/2022,Blouse,11652.00
29/05/2022,Bottom,2432.00
29/05/2022,Ethnic Dress,26444.00
29/05/2022,Saree,5017.00
29/05/2022,Set,957052.00
29/05/2022,Top,206205.00
29/05/2022,Western Dress,492399.00
29/05/2022,kurta,607240.00
30/05/2022,Blouse,11808.00
30/05/2022,Bottom,2655.00
30/05/2022,Ethnic Dress,23785.00
30/05/2022,Saree,4226.00
30/05/2022,Set,1008106.00
30/05/2022,Top,209030.00
30/05/2022,Western Dress,476169.00
30/05/2022,kurta,574236.00
31/05/2022,Blouse,13383.00
31/05/2022,Bottom,1777.00
31/05/2022,Ethnic Dress,30383.00
31/05/2022,Saree,2456.00
31/05/2022,Set,1043081.00
31/05/2022,Top,202756.00
31/05/2022,Western Dress,481445.00
31/05/2022,kurta,562593.00
01/06/2022,Blouse,12608.00
01/06/2022,Bottom,2316.00
01/06/2022,Ethnic Dress,42505.00
01/06/2022,Saree,2359.00
01/06/2022,Set,1087298.00
01/06/2022,Top,200247.00
01/06/2022,Western Dress,505306.00
01/06/2022,kurta,579907.00
02/06/2022,Blouse,12485.00
02/06/2022,Bottom,2232.00
02/06/2022,Ethnic Dress,47537.00
02/06/2022,Saree,3944.00
02/06/2022,Set,1092230.00
02/06/2022,Top,200423.00
02/06/2022,Western Dress,525545.00
02/06/2022,kurta,603665.00
03/06/2022,Blouse,10849.00
03/06/2022,Bottom,2335.00
03/06/2022,Ethnic Dress,34232.00
03/06/2022,Saree,3059.00
03/06/2022,Set,1026100.00
03/06/2022,Top,167211.00
03/06/2022,Western Dress,468086.00
03/06/2022,kurta,626821.00
04/06/2022,Blouse,10809.00
04/06/2022,Bottom,1791.00
04/06/2022,Ethnic Dress,22627.00
04/06/2022,Saree,4031.00
04/06/2022,Set,1052932.00
04/06/2022,Top,132119.00
04/06/2022,Western Dress,405175.00
04/06/2022,kurta,677690.00
05/06/2022,Blouse,8502.00
05/06/2022,Bottom,1484.00
05/06/2022,Ethnic Dress,27181.00
05/06/2022,Saree,6689.00
05/06/2022,Set,1097928.00
05/06/2022,Top,119079.00
05/06/2022,Western Dress,346059.00
05/06/2022,kurta,786569.00
06/06/2022,Blouse,9277.00
06/06/2022,Bottom,1080.00
06/06/2022,Ethnic Dress,28385.00
06/06/2022,Saree,6689.00
06/06/2022,Set,1212077.00
06/06/2022,Top,130044.00
06/06/2022,Western Dress,378832.00
06/06/2022,kurta,831339.00
07/06/2022,Blouse,8736.00
07/06/2022,Bottom,1030.00
07/06/2022,Ethnic Dress,29035.00
07/06/2022,Saree,4243.00
